production_budget_usd,worldwide_gross_usd
34000000.00,10672566.00
20000000.00,10686841.00
22000000.00,10696210.00
40000000.00,10717421.00
12500000.00,10725228.00
25000000.00,10731997.00
8000000.00,10763183.00
15000000.00,10763469.00
7000000.00,10765283.00
7000000.00,10803211.00
7000000.00,10828305.00
7500000.00,10834406.00
15000000.00,10845127.00
7500000.00,10849158.00
15000000.00,10951153.00
47000000.00,11022696.00
25000000.00,11100000.00
25000000.00,11115766.00
13000000.00,11141213.00
15000000.00,11156471.00
14000000.00,11166615.00
15000000.00,11173718.00
45000000.00,11203026.00
25000000.00,11229035.00
30000000.00,11247280.00
25000000.00,11253821.00
34000000.00,11263966.00
12500000.00,11277119.00
15000000.00,11279884.00
9900000.00,11310835.00
30000000.00,11324708.00
6000000.00,11348205.00
14000000.00,11354230.00
10000000.00,11360665.00
10000000.00,11400000.00
60000000.00,11427090.00
55000000.00,11532774.00
16000000.00,11540112.00
10000000.00,11546543.00
35000000.00,11559747.00
30000000.00,11578022.00
15000000.00,11599903.00
25000000.00,11603545.00
15000000.00,11614954.00
5200000.00,11633427.00
17000000.00,11634458.00
6000000.00,11642254.00
24000000.00,11723620.00
13500000.00,11732088.00
13700000.00,11738256.00
20000000.00,11744960.00
6500000.00,11745931.00
7500000.00,11758418.00
10000000.00,11766959.00
23000000.00,11778396.00
6000000.00,11784569.00
16000000.00,11810854.00
18000000.00,11813989.00
12500000.00,11826980.00
13000000.00,11831131.00
7500000.00,11843260.00
35000000.00,11846010.00
11000000.00,11862650.00
10000000.00,11924041.00
21600000.00,12005968.00
30000000.00,12017369.00
7300000.00,12023606.00
28000000.00,12031443.00
12000000.00,12034913.00
60000000.00,12069719.00
10000000.00,12179708.00
25000000.00,12219367.00
35000000.00,12254746.00
15000000.00,12262065.00
23000000.00,12291975.00
12500000.00,12309980.00
44000000.00,12342632.00
40000000.00,12345883.00
24000000.00,12372410.00
6500000.00,12376563.00
10000000.00,12382122.00
15000000.00,12394562.00
20000000.00,12397613.00
20000000.00,12398628.00
5500000.00,12399772.00
25000000.00,12413949.00
15000000.00,12419700.00
10300000.00,12478635.00
35000000.00,12506188.00
9000000.00,12512317.00
12000000.00,12516222.00
10000000.00,12517379.00
6000000.00,12523097.00
36000000.00,12532777.00
10000000.00,12554569.00
14000000.00,12591270.00
16000000.00,12617472.00
40000000.00,12624471.00
9000000.00,12657377.00
50000000.00,12660287.00
15000000.00,12669914.00
7200000.00,12678312.00
8000000.00,12740705.00
6000000.00,12793213.00
15000000.00,12801190.00
23000000.00,12803305.00
14000000.00,12826644.00
25000000.00,12850033.00
30000000.00,12885574.00
9000000.00,12898064.00
47000000.00,12900000.00
16000000.00,12900000.00
12000000.00,12905901.00
55000000.00,12923936.00
15250000.00,12930343.00
22000000.00,12967012.00
20000000.00,12967829.00
15000000.00,12970401.00
25000000.00,13008804.00
23000000.00,13019253.00
14000000.00,13024170.00
25000000.00,13038660.00
36000000.00,13052741.00
9000000.00,13061935.00
9000000.00,13075390.00
45000000.00,13086137.00
38000000.00,13119947.00
6000000.00,13168809.00
27000000.00,13174426.00
18000000.00,13203044.00
14000000.00,13205411.00
35000000.00,13214051.00
60000000.00,13233220.00
15000000.00,13248444.00
40000000.00,13289290.00
15000000.00,13300181.00
25000000.00,13314562.00
15000000.00,13316627.00
11000000.00,13353855.00
20000000.00,13383747.00
18000000.00,13400000.00
25000000.00,13424365.00
17000000.00,13446115.00
15000000.00,13454474.00
5500000.00,13480196.00
40000000.00,13508635.00
22000000.00,13555988.00
11000000.00,13558739.00
23000000.00,13593473.00
70000000.00,13596911.00
35000000.00,13601109.00
16500000.00,13636339.00
19000000.00,13680000.00
10000000.00,13684949.00
18500000.00,13711903.00
11000000.00,13719474.00
20000000.00,13725032.00
26000000.00,13738574.00
18000000.00,13747234.00
15600000.00,13771817.00
14000000.00,13800000.00
20000000.00,13801755.00
10000000.00,13835130.00
16000000.00,13854000.00
7000000.00,13860078.00
25000000.00,13973532.00
12000000.00,14010363.00
9500000.00,14114000.00
14000000.00,14121177.00
16000000.00,14125516.00
10500000.00,14140402.00
10000000.00,14156753.00
18000000.00,14189810.00
7000000.00,14231669.00
15000000.00,14249005.00
6250000.00,14261269.00
50000000.00,14271297.00
34000000.00,14291999.00
70000000.00,14294842.00
22000000.00,14307223.00
6537890.00,14319195.00
10000000.00,14321070.00
25000000.00,14334401.00
40000000.00,14358033.00
20000000.00,14365639.00
40000000.00,14375181.00
36000000.00,14378353.00
14000000.00,14395874.00
13000000.00,14403703.00
40000000.00,14448589.00
35000000.00,14471440.00
18000000.00,14488705.00
26000000.00,14494770.00
17700000.00,14518884.00
17000000.00,14534046.00
6000000.00,14545844.00
16000000.00,14553807.00
20000000.00,14566246.00
20000000.00,14603001.00
7000000.00,14618727.00
75000000.00,14623082.00
5600000.00,14683763.00
9100000.00,14709816.00
20000000.00,14772346.00
11000000.00,14786394.00
16000000.00,14792779.00
25000000.00,14805812.00
20000000.00,14807531.00
15000000.00,14811980.00
60000000.00,14816379.00
60000000.00,14816494.00
16000000.00,14839383.00
5000000.00,14843425.00
13000000.00,14929184.00
15000000.00,14933713.00
40000000.00,14938149.00
40000000.00,14942422.00
47000000.00,14970038.00
36500000.00,15000000.00
5000000.00,15000000.00
8500000.00,15024232.00
10000000.00,15037867.00
20000000.00,15055091.00
14000000.00,15064948.00
19400000.00,15118795.00
10000000.00,15121528.00
5000000.00,15126948.00
15000000.00,15136870.00
6000000.00,15137932.00
10000000.00,15164492.00
14000000.00,15171475.00
7000000.00,15193977.00
10000000.00,15198912.00
10000000.00,15297318.00
30000000.00,15313631.00
30000000.00,15358583.00
15000000.00,15364632.00
22000000.00,15434375.00
42000000.00,15451663.00
28500000.00,15452978.00
35000000.00,15461638.00
20000000.00,15466961.00
25000000.00,15468266.00
7000000.00,15471229.00
35000000.00,15471969.00
20000000.00,15473333.00
50000000.00,15505922.00
15000000.00,15554855.00
14000000.00,15565357.00
8000000.00,15644196.00
9000000.00,15660664.00
17000000.00,15680099.00
18000000.00,15696146.00
5500000.00,15700000.00
22000000.00,15716828.00
23000000.00,15728335.00
8000000.00,15752575.00
38000000.00,15779653.00
27500000.00,15815509.00
20000000.00,15824374.00
31000000.00,15826984.00
5500000.00,15867314.00
25000000.00,15907411.00
19000000.00,15911332.00
16000000.00,15980376.00
18000000.00,16011975.00
5000000.00,16017403.00
6800000.00,16038343.00
25000000.00,16118077.00
17000000.00,16140842.00
7000000.00,16149180.00
10000000.00,16153000.00
16500000.00,16157923.00
40000000.00,16172200.00
12500000.00,16193713.00
12000000.00,16221211.00
9000000.00,16235738.00
75000000.00,16283165.00
30000000.00,16295774.00
24000000.00,16304786.00
17000000.00,16316273.00
40000000.00,16340767.00
12000000.00,16349034.00
6000000.00,16369708.00
18000000.00,16382538.00
25000000.00,16425701.00
10000000.00,16460336.00
30000000.00,16481405.00
19700000.00,16498827.00
17000000.00,16510971.00
9100000.00,16517708.00
26000000.00,16521410.00
27000000.00,16566235.00
50000000.00,16581575.00
8000000.00,16585503.00
20000000.00,16612072.00
28000000.00,16638300.00
32000000.00,16640210.00
10000000.00,16667084.00
20000000.00,16723377.00
25000000.00,16727470.00
13000000.00,16757163.00
15000000.00,16829464.00
35000000.00,16830252.00
7000000.00,16866928.00
30000000.00,16873925.00
10000000.00,16891011.00
20000000.00,16907831.00
14000000.00,16951798.00
15800000.00,16955673.00
18000000.00,16959614.00
20000000.00,16988996.00
7000000.00,17005466.00
7000000.00,17023121.00
40000000.00,17033431.00
10000000.00,17033556.00
30000000.00,17121823.00
9200000.00,17155193.00
8500000.00,17202854.00
22000000.00,17216955.00
65000000.00,17218916.00
8500000.00,17220091.00
45000000.00,17220599.00
15000000.00,17224539.00
6000000.00,17252287.00
12000000.00,17292381.00
10000000.00,17300838.00
20000000.00,17306648.00
12000000.00,17322212.00
38000000.00,17378193.00
8000000.00,17382693.00
8000000.00,17394881.00
20000000.00,17430594.00
10000000.00,17433072.00
11000000.00,17443529.00
9000000.00,17462398.00
12000000.00,17475475.00
45000000.00,17492014.00
5000000.00,17499242.00
10000000.00,17503828.00
10000000.00,17536256.00
9800000.00,17553055.00
24000000.00,17589829.00
21000000.00,17589867.00
20000000.00,17612099.00
10000000.00,17657973.00
10000000.00,17704131.00
21000000.00,17760244.00
5000000.00,17768757.00
20000000.00,17769299.00
9000000.00,17804273.00
20000000.00,17807569.00
38000000.00,17831558.00
13000000.00,17856688.00
30000000.00,17865209.00
18000000.00,17920013.00
35000000.00,17967746.00
15000000.00,18067151.00
8000000.00,18090181.00
19000000.00,18100189.00
6500000.00,18110152.00
67000000.00,18115927.00
5500000.00,18119231.00
45000000.00,18120267.00
26000000.00,18132937.00
7000000.00,18190831.00
32000000.00,18195238.00
6000000.00,18209872.00
20000000.00,18250106.00
15000000.00,18260865.00
20000000.00,18273009.00
20000000.00,18310591.00
35000000.00,18376443.00
20000000.00,18400000.00
10000000.00,18423914.00
25000000.00,18445379.00
12000000.00,18472775.00
26000000.00,18496522.00
6000000.00,18504539.00
92000000.00,18517322.00
15000000.00,18524496.00
5600000.00,18527766.00
